title,author,category,pub_date,link,description
طاقة: العمل على توفير البنية التحتية الطاقوية لإنجاح المشاريع الاستراتيجية جنوب البلاد,ameur.log@aps.dz (Boussadia fouzia),اقتصــاد,"Thu, 20 Mar 2025 17:11:30 +0100",https://www.aps.dz/ar/economie/177425-2025-03-20-16-14-23,"الجزائر - أكد وزير الدولة, وزير الطاقة والمناجم والطاقات المتجددة, محمد عرقاب, اليوم الخميس, أن قطاعه يعمل بشكل وثيق مع قطاع الفلاحة لضمان توفير البنية التحتية الطاقوية اللازمة لإنجاح المشاريع الاستراتيجية بجنوب البلاد, لاسيما مشروع ""بلدنا"" لإنتاج الحليب بولاية أدرار و مشروع إنتاج الحبوب والبقوليات بولاية تيميمون, حسبما افاد به بيان للوازرة."
تشغيل: بن طالب يبرز جهود القطاع في عصرنة المرفق العمومي ضمانا لجودة الخدمات,ameur.log@aps.dz (Boussadia fouzia),اقتصــاد,"Thu, 20 Mar 2025 16:18:41 +0100",https://www.aps.dz/ar/economie/177419-2025-03-20-15-20-51,"الجزائر - أبرز وزير العمل والتشغيل والضمان الاجتماعي, فيصل بن طالب, اليوم الخميس بالجزائر العاصمة, جهود القطاع في عصرنة المرفق العمومي للتشغيل, من أجل تعزيز الشفافية في التسيير وضمان جودة الخدمات المقدمة."
مالية: بو الزرد يؤكد على ضرورة مواصلة جهود عصرنة إدارة الضرائب,ameur.log@aps.dz (Boussadia fouzia),اقتصــاد,"Thu, 20 Mar 2025 15:09:29 +0100",https://www.aps.dz/ar/economie/177410-2025-03-20-14-10-29,"الجزائر - أكد وزير المالية, عبد الكريم بو الزرد, اليوم الخميس بالمجلس الشعبي الوطني, على ضرورة مواصلة جهود عصرنة إدارة الضرائب, لا سيما من خلال عملية الرقمنة التي ستسمح بإعادة تنظيم الهياكل التابعة لها."
إيرادات المنتجات الغابية في الجزائر تتجاوز مليار دينار في 2024,ameur.log@aps.dz (Sylia Ouenoughi),اقتصــاد,"Wed, 19 Mar 2025 17:33:03 +0100",https://www.aps.dz/ar/economie/177366-2024,"الجزائر - تجاوزت إيرادات بيع المنتجات الغابية في الجزائر مليار دينار خلال سنة 2024, حسب معطيات المديرية العامة للغابات, المنشورة بمناسبة اليوم الدولي للغابات الموافق لـ 21 مارس من سنة."
البيع المباشر لمنتجات تربية المائيات: إقبال متزايد من المستهلكين على سمك التيلابيا الحمراء,ameur.log@aps.dz (Boussadia fouzia),اقتصــاد,"Wed, 19 Mar 2025 15:18:26 +0100",https://www.aps.dz/ar/economie/177345-2025-03-19-14-20-14,"الجزائر - يحظى سمك التيلابيا الحمراء المستزرعة في الأحواض المائية بإقبال متزايد من طرف المستهلكين, نظرا لقيمته الغذائية العالية وتعدد طرق تحضيره وسعره المناسب, ما جعله يقتحم الموائد الجزائرية بشكل ملحوظ."
"مجلس مساهمات الدولة: تحويل الأصول العقارية ل ""ديفاندوس المناطق الصناعية"" لفائدة الوكالة الوطنية للعقار الصناعي",ameur.log@aps.dz (Boussadia fouzia),اقتصــاد,"Wed, 19 Mar 2025 15:06:21 +0100",https://www.aps.dz/ar/economie/177343-2025-03-19-14-09-47,"الجزائر - عقد مجلس مساهمات الدولة, اليوم الأربعاء, اجتماعا برئاسة الوزير الأول نذير العرباوي, خصص لتحويل الأصول العقارية والتزامات المؤسسة العمومية الاقتصادية ""ديفاندوس المناطق الصناعية"" لفائدة الوكالة الوطنية للعقار الصناعي, حسبما أفاد به بيان لمصالح الوزير الأول."
"نسيج وجلود: رقم أعمال المجمع العمومي ""جيتكس"" يرتفع ب15 بالمائة في 2024",ameur.log@aps.dz (Bahia Aliouche ),اقتصــاد,"Wed, 19 Mar 2025 10:57:52 +0100",https://www.aps.dz/ar/economie/177314-15-2024,"الجزائر- حقق المجمع العمومي للنسيج والجلود ""جيتكس"" رقم أعمال يناهز 20 مليار دج خلال سنة 2024, مسجلا بذلك نموا ب15 بالمائة على أساس سنوي, حسبما ما أفادت به مسؤولة بالمجمع."
الجزائر تشارك في صالون لندن الدولي للمنتجات الغذائية,ameur.log@aps.dz (Saoud chakib),اقتصــاد,"Tue, 18 Mar 2025 22:26:41 +0100",https://www.aps.dz/ar/economie/177304-2025-03-18-21-27-16,لندن - تشارك الجزائر في الطبعة 2025 للصالون الدولي للأغذية والمشروبات الذي ينظم في لندن من 17 إلى 19 مارس بمجموعة متنوعة من المنتجات عالية الجودة تعكس القفزة النوعية المحققة في هذا القطاع في إطار سياسة تنويع الاقتصاد الوطني.
المعرض الافريقي للتجارة البينية: البنك الافريقي للاستيراد و التصدير يشيد بالتحضيرات المكثفة التي باشرتها الجزائر,ameur.log@aps.dz (Sylia Ouenoughi),اقتصــاد,"Tue, 18 Mar 2025 17:40:41 +0100",https://www.aps.dz/ar/economie/177292-2025-03-18-16-42-58,"الجزائر - أعرب البنك الافريقي للاستيراد والتصدير عن ارتياحه للتحضيرات ""المكثفة"" التي باشرتها الجزائر من أجل احتضان الطبعة ال4 من المعرض الافريقي للتجارة البينية (2025), الذي يعتبر الحدث الأفريقي الأول حول التجارة والاستثمار المزمع تنظيمه بالجزائر العاصمة, خلال الفترة الممتدة بين 4 و 10 سبتمبر المقبل."
المخزن بين التسويق الكاذب والتجاهل الممنهج: معاناة مستمرة لضحايا الزلزال والمتصرفين التربويين,ameur.log@aps.dz (Boussadia fouzia),دولــي,"Thu, 20 Mar 2025 17:25:52 +0100",https://www.aps.dz/ar/monde/177429-2025-03-20-16-26-49,"الرباط - تواصل حكومة المخزن نهج سياسات التسويف والمماطلة في التعامل مع الملفات الاجتماعية العالقة, متجاهلة الأوضاع المزرية لفئات واسعة من المواطنين, فمن ضحايا زلزال الحوز, الذين يقاسون البرد والفقر منذ أكثر من عام ونصف, إلى المتصرفين التربويين الذين يواجهون الحيف والتهميش, تتجلى سياسة اللامبالاة التي كرستها السلطة مستخدمة التبريرات الواهية بدل الاستجابة للمطالب المشروعة."
المغرب: تحذير من مخاطر الاختراق الصهيوني الذي طال كافة المجالات في المملكة,ameur.log@aps.dz (Boussadia fouzia),دولــي,"Thu, 20 Mar 2025 17:08:10 +0100",https://www.aps.dz/ar/monde/177424-2025-03-20-16-08-47,"الرباط  - حذر المشاركون في ندوة نظمها ""المؤتمر القومي الإسلامي"" بالمغرب, من خطورة الاختراق الصهيوني الذي طال كافة المجالات في المملكة."
استئناف العدوان على غزة : الجزائر تدعو من جنيف المجتمع الدولي الى التحرك لضمان احترام الكيان الصهيوني لاتفاق وقف اطلاق النار,ameur.log@aps.dz (Boussadia fouzia),دولــي,"Thu, 20 Mar 2025 17:06:29 +0100",https://www.aps.dz/ar/monde/177423-2025-03-20-16-07-45,"جنيف - أدانت الجزائر, اليوم الخميس من جنيف, ب ""أشد العبارات"" استئناف الكيان الصهيوني لعدوانه الغاشم على الشعب الفلسطيني في قطاع غزة و انتهاكه لاتفاق وقف اطلاق النار, داعية المجتمع الدولي الى التحرك السريع لضمان احترام القوة القائمة بالاحتلال للاتفاق في مختلف مضامينه وعبر جميع مراحله."
سويسرا : يوم تضامني مع المعتقلين السياسيين الصحراويين و حملة توقيعات للمطالبة بالإفراج عنهم,ameur.log@aps.dz (Nemmoura Farid),دولــي,"Thu, 20 Mar 2025 15:58:07 +0100",https://www.aps.dz/ar/monde/177414-2025-03-20-15-00-21,"بيرن- نظمت اللجنة السويسرية للتضامن مع الشعب الصحراوي, أمس الاربعاء, بالعاصمة بيرن, يوما تضامنيا مع المعتقلين السياسيين الصحراويين في سجون الاحتلال المغربي, تخللته حملة لجمع التوقيعات للمطالبة بالإفراج عنهم, حسب ما أوردته وكالة الأنباء الصحراوية (واص)."
المجلس الوطني الفلسطيني يحمل المجتمع الدولي مسؤولية وقف جرائم الإبادة الجماعية بحق الشعب الفلسطيني,ameur.log@aps.dz (Salah Harireche),دولــي,"Thu, 20 Mar 2025 11:29:26 +0100",https://www.aps.dz/ar/monde/177396-2025-03-20-10-37-32,"رام الله (فلسطين المحتلة) - قال المجلس الوطني الفلسطيني, يوم الخميس, أن التصعيد الخطير في جرائم الاحتلال الصهيوني بحق الشعب الفلسطيني, وتواصل المجازر الوحشية في قطاع غزة, وإبادة عائلات بأكملها شرق خان يونس, يعد فصلا جديدا من فصول الإبادة الجماعية والتطهير العرقي وسط صمت دولي مريب."
الاحتلال الصهيوني يواصل عدوانه على مدينة طولكرم ومخيميها لليوم ال53 على التوالي,ameur.log@aps.dz (Chaker Delfa),دولــي,"Thu, 20 Mar 2025 10:03:06 +0100",https://www.aps.dz/ar/monde/177390-53,"طولكرم - يواصل الاحتلال الصهيوني يوم الخميس, عدوانه على مدينة طولكرم ومخيمها لليوم 53 على التوالي, بينما يدخل يومه ال40 على مخيم نور شمس, وسط تصعيد مستمر وعمليات اقتحام وهدم للمنازل وتدمير للبنية التحتية."
عشرات الشهداء والجرحى والمفقودين في غارات عنيفة شنها الاحتلال الصهيوني على غزة,ameur.log@aps.dz (Chaker Delfa),دولــي,"Thu, 20 Mar 2025 09:55:32 +0100",https://www.aps.dz/ar/monde/177388-2025-03-20-08-56-26,غزة- شنت قوات الاحتلال الصهيوني عدة غارات وعمليات قصف عنيفة على منازل وخيام المواطنين الفلسطينيين في مناطق مختلفة من قطاع غزة مساء يوم الأربعاء وفجر يوم الخميس ما أسفر عن استشهاد عشرات المواطنين الفلسطينيين وفقدان وإصابة آخرين.
غزة والضفة الغربية تواجهان كارثة صحية غير مسبوقة في ظل تصاعد العدوان الصهيوني,ameur.log@aps.dz (Chaker Delfa),دولــي,"Thu, 20 Mar 2025 09:52:29 +0100",https://www.aps.dz/ar/monde/177387-2025-03-20-08-53-18,"رام الله - قالت وزارة الصحة الفلسطينية, إن قطاع غزة والضفة الغربية يواجهان كارثة صحية غير مسبوقة, جراء العدوان الصهيوني المستمر, وإغلاق المعابر, وتشديد الحصار, ما أدى إلى انهيار شبه كامل للمنظومة الصحية في غزة, ووضع المستشفيات والمراكز الطبية في الضفة الغربية تحت ضغط هائل في ظل التصعيد الصهيوني المتواصل ضد المدن والمخيمات الفلسطينية."
استشهاد أكثر من 43 فلسطينيا وإصابة آخرين في قصف صهيوني على مناطق متفرقة من غزة,ameur.log@aps.dz (Salah Harireche),دولــي,"Thu, 20 Mar 2025 09:20:20 +0100",https://www.aps.dz/ar/monde/177386-43,غزة  - استشهد أكثر من 43 فلسطينيا وأصيب اخرون ليلة الأربعاء إلى الخميس جراء مواصلة قصف قوات الاحتلال لمناطق متفرقة من قطاع غزة.
الصحراء الغربية: الرئيس غالي يشيد بالدور التاريخي للمرأة الصحراوية في مسيرة الكفاح من أجل الحرية والإستقلال,ameur.log@aps.dz (Saoud chakib),دولــي,"Wed, 19 Mar 2025 22:29:38 +0100",https://www.aps.dz/ar/monde/177379-2025-03-19-21-31-05,"الشهيد الحافظ (مخيمات اللاجئين الصحراويين) - أشاد رئيس الجمهورية العربية الصحراوية الأمين العام لجبهة البوليساريو السيد إبراهيم غالي, بالدور التاريخي الذي لعبته المرأة الصحراوية في مسيرة الكفاح من أجل الحرية و الإستقلال."
الرابطة الأولى: فوز شباب بلوزداد على اتحاد بسكرة (4-2),ameur.log@aps.dz (Boussadia fouzia),رياضــة,"Thu, 20 Mar 2025 17:27:57 +0100",https://www.aps.dz/ar/sport/177430-4-2,"الجزائر - تغلب فريق شباب بلوزداد على اتحاد بسكرة بنتيجة (4-2), في مباراة متأخرة عن الجولة الـ18 من بطولة الرابطة المحترفة الأولى ""موبيليس"" لفئة الرديف, جمعت بينهما اليوم الخميس بالجزائر."
بطولة إفريقيا للمحليين 2025 : المنتخب الوطني يجري ثاني حصة تدريبية له,ameur.log@aps.dz (Chaker Delfa),رياضــة,"Thu, 20 Mar 2025 11:40:20 +0100",https://www.aps.dz/ar/sport/177397-2025,"الجزائر- أجرى المنتخب الوطني للاعبين المحليين ثاني حصة تدريبية له, على الميدان الرئيسي لملعب 19 ماي 1956, بعنابة, ضمن التربص التحضيري الممتد إلى غاية 24 مارس الجاري, بعد تدعيم الفريق بحارس المرمى, عبد الرحمن مجادل واللاعب جابر كعسيس, حسب ما افادت الاتحادية الجزائرية لكرة القدم عبر موقعها الرسمي."
"مونديال 2026: ""الخضر"" يكثفون تحضيراتهم قبل التوجه إلى فرانسيس تاون",ameur.log@aps.dz (Chaker Delfa),رياضــة,"Thu, 20 Mar 2025 11:07:25 +0100",https://www.aps.dz/ar/sport/177395-2026,"غابورون- يواصل المنتخب الجزائري لكرة القدم تحضيراته استعدادا لمواجهة بوتسوانا, المقررة يوم غد الجمعة (00ر14 بتوقيت الجزائر) بملعب -عوبيد إيتاني تشيلومي- بمدينة فرانسيستاون, لحساب الجولة الخامسة من تصفيات كأس العالم 2026, قبل التوجه الى هذه المدينة منتصف يوم الخميس, حسبما كشفت عنه الاتحادية الجزائرية لكرة القدم (فاف) على موقعها."
مونديال 2026/ بوتسوانا-الجزائر: المنتخب الجزائري من أجل البقاء في الصدارة,ameur.log@aps.dz (Bahia Aliouche ),رياضــة,"Wed, 19 Mar 2025 18:30:00 +0100",https://www.aps.dz/ar/sport/177334-2026,"الجزائر- يطمح المنتخب الجزائري لكرة القدم إلى تحقيق نتيجة إيجابية يوم الجمعة المقبل بفرانسيس تاون, عندما يواجه منتخب بوتسوانا لحساب الجولة الخامسة من تصفيات كأس العالم-2026 ."
المنافسات الافريقية للاندية2024-2025: الكشف عن تواريخ اجراء مباريات الدور ربع النهائي,ameur.log@aps.dz (Boussadia fouzia),رياضــة,"Wed, 19 Mar 2025 17:02:50 +0100",https://www.aps.dz/ar/sport/177362-2024-2025,"القاهرة - كشفت الكونفدرالية الافريقية كرة القدم (الكاف), اليوم الأربعاء, عن تواريخ ومواقيت إجراء مباريات الدور ربع النهائي لمنافسات رابطة أبطال افريقيا وكأس الكونفدرالية الافريقية لكرة القدم (الكاف)."
"كرة القدم/مونديال-2026: ""المنتخب الجزائري يضم عناصر قادرة على إدارة المباريات خارج قواعدها """,ameur.log@aps.dz (Dib Nassima),رياضــة,"Wed, 19 Mar 2025 14:13:47 +0100",https://www.aps.dz/ar/sport/177338-2026,"غابورون - أكد مدرب منتخب بوتسوانا لكرة القدم، الجنوب افريقي مورينا راموريبولي, أن المنتخب الجزائري, الذي سيواجهه فريقه يوم الجمعة على (00ر14 بتوقيت الجزائر) برسم الجولة الخامسة عن المجموعة السابعة من تصفيات مونديال-2026, يضم عناصر محنكة قادرة على إدارة المباريات خارج قواعدها وبإمكانها تحقيق نتائج جيدة."
"الرابطة الأولى ""موبيليس"": مباراة دون جمهور لشباب بلوزداد ومعاقبة مدربه راموفيتش",ameur.log@aps.dz (Bahia Aliouche ),رياضــة,"Wed, 19 Mar 2025 12:29:27 +0100",https://www.aps.dz/ar/sport/177324-2025-03-19-11-33-56,"الجزائر- عوقب فريق شباب بلوزداد بمباراة واحدة دون جمهور بسبب ""استخدام ورمي الألعاب النارية على أرضية الميدان دون خسائر مادية (المخالفة الثالثة)"", خلال المباراة التي جمعته بالجار اتحاد الجزائر (1-1) لحساب الجولة الـ20 من بطولة الرابطة الأولى ""موبيليس"", حسبما أعلنت عنه الرابطة المحترفة لكرة القدم على موقعها الرسمي."
مونديال-2026/بوتسوانا-الجزائر: أول حصة تدريبية للمنتخب الوطني بغابورون,ameur.log@aps.dz (Chaker Delfa),رياضــة,"Wed, 19 Mar 2025 09:58:45 +0100",https://www.aps.dz/ar/sport/177310-2026,"الجزائر- أجرى المنتخب الجزائري لكرة القدم أول حصة تدريبية له بغابورون, يوم الثلاثاء, استعدادا لمباراته أمام نظيره البوتسواني والمقررة يوم الجمعة بفرانسيس تاون (00ر14 بتوقيت الجزائر), لحساب الجولة الخامسة عن المجموعة السابعة من التصفيات المؤهلة الى كأس العالم-2026, حسبما كشفت عنه الاتحادية الجزائرية لكرة القدم (فاف)."
كرة القدم داخل القاعة (دورة الصحافة): المنافسة تباشر الأدوار ثمن النهائية بالقاعة البيضوية للمركب الاولمبي,ameur.log@aps.dz (Sylia Ouenoughi),رياضــة,"Tue, 18 Mar 2025 15:36:19 +0100",https://www.aps.dz/ar/sport/177260-2025-03-18-14-37-29,"الجزائر - تباشر دورة الصحافة لكرة القدم داخل القاعة (فوت صال) في طبعتها الرابعة, سهرة اليوم الثلاثاء بالقاعة البيضوية للمركب الاولمبي ""محمد بوضياف"" (الجزائر),مباريات الدور ثمن النهائي التي تأهلت له الاندية الـ14 المحتلة للمراتب الاولى والثانية في مجموعاتها, بعد الدور الاول, بالإضافة إلى أحسن ناديين يحتلان المركز الثالث في المجموعات السبع خلالنفس الدور."
بطولة إفريقيا للمحليين 2025: المنتخب الوطني يشرع في تربصه التحضيري بعنابة,ameur.log@aps.dz (Dib Nassima),رياضــة,"Tue, 18 Mar 2025 11:49:02 +0100",https://www.aps.dz/ar/sport/177246-2025,"الجزائر - أجرى المنتخب الوطني المحلي لكرة القدم، يوم الإثنين، أول حصة تدريبية له في إطار التربص الجاري بمدينة عنابة (من 17 إلى24 مارس), تحسبا للمواجهة المزدوجة المرتقبة شهر مايو المقبل أمام غامبيا, لحساب الملحق المؤهل لبطولة إفريقيا للمحليين (شان 2025)."
"حج 2025: برمجة فتح الرحلات عبر ""البوابة الجزائرية للحج"" وتطبيق ""ركب الحجيج""",ameur.log@aps.dz (Boussadia fouzia),مجتمـــع,"Thu, 20 Mar 2025 17:18:54 +0100",https://www.aps.dz/ar/societe/177427-2025,"الجزائر - كشف الديوان الوطني للحج والعمرة, في بيان له اليوم الخميس, عن برمجة فتح الرحلات عبر ""البوابة الجزائرية للحج"" وتطبيق ""ركب الحجيج"" لحساب موسم الحج 1446هـ 2025 م."
حوادث المرور بالمناطق الحضرية: وفاة 13 شخصا وإصابة 456 آخرين خلال أسبوع,ameur.log@aps.dz (Dib Nassima),مجتمـــع,"Thu, 20 Mar 2025 13:14:03 +0100",https://www.aps.dz/ar/societe/177405-13-456,الجزائر - توفي 13 شخصا وأصيب 456 آخرون، إثر وقوع 356 حادث مرور بالمناطق الحضرية خلال أسبوع، حسب ما أفاد به، يوم الخميس، بيان للمديرية العامة للأمن الوطني.
الدروس المحمدية: إبراز أثر التزكية في تربية الوجدان وبناء الانسان,ameur.log@aps.dz (Chaker Delfa),مجتمـــع,"Thu, 20 Mar 2025 09:03:38 +0100",https://www.aps.dz/ar/societe/177385-17,"وهران- أبرز رئيس المجلس الاسلامي الاعلى الدكتور مبروك زيد الخير , يوم الأربعاء بوهران, أثر التزكية في تربية الوجدان وبناء الانسان."
الدروس المحمدية بوهران: ابراز الدور الاصلاحي والتربوي للشيخ سيدي محمد بلكبير,ameur.log@aps.dz (Saoud chakib),مجتمـــع,"Thu, 20 Mar 2025 08:00:00 +0100",https://www.aps.dz/ar/societe/177373-17,"وهران - أبرز الشيخ عبد الكريم دباغي من الجزائر, يوم الأربعاء بوهران, الدور الاصلاحي والتربوي للشيخ سيدي محمد بلكبير (1911-2000) وذلك من خلال مدرسته التي كانت تستقطب آلاف الطلبة."
إفطار جماعي لفائدة فئة الأحداث بالمؤسسة العقابية بالقليعة,ameur.log@aps.dz (Saoud chakib),مجتمـــع,"Thu, 20 Mar 2025 08:00:00 +0100",https://www.aps.dz/ar/societe/177381-2025-03-19-22-47-32,"تيبازة - احتضنت المؤسسة العقابية بالقليعة (تيبازة), يوم الأربعاء, إفطار جماعي للموسم الرابع على التوالي لفائدة فئة الأحداث المحبوسين, لتجديد تضامن الدولة الجزائرية مع أبنائها في مثل هذه المناسبات."
مولوجي تشارك في جلسة نقاش حول قانون حماية الأشخاص ذوي الهمم وترقيتهم,ameur.log@aps.dz (Saoud chakib),مجتمـــع,"Wed, 19 Mar 2025 23:31:58 +0100",https://www.aps.dz/ar/societe/177380-2025-03-19-22-35-30,"الجزائر - شاركت وزيرة التضامن الوطني والأسرة وقضايا المرأة, السيدة صورية مولوجي, يوم الأربعاء, في أشغال جلسة نقاش حول قانون حماية الأشخاص ذوي الهمم وترقيتهم المنظمة من قبل المجلس الوطني لحقوق الإنسان."
جامع الجزائر يحضر لاتفاقية شراكة مع جامعة الزيتونة بتونس,ameur.log@aps.dz (Saoud chakib),مجتمـــع,"Wed, 19 Mar 2025 21:36:08 +0100",https://www.aps.dz/ar/societe/177375-2025-03-19-20-39-01,"الجزائر - أعلن عميد جامع الجزائر, السيد محمد المأمون القاسمي الحسني, اليوم الأربعاء, بالجزائر العاصمة, عن مشروع اتفاقية شراكة بين المدرسة الوطنية العليا للعلوم الإسلامية ""دار القرآن"" وجامعة الزيتونة العريقة في تونس, حسبما أفاد به بيان لجامع الجزائر."
"قسنطينة: العمل التضامني في رمضان, هبة جديدة لصالح المعوزين",ameur.log@aps.dz (Bahia Aliouche ),مجتمـــع,"Wed, 19 Mar 2025 18:30:00 +0100",https://www.aps.dz/ar/societe/177326-2025-03-19-11-59-59,"قسنطينة- تمثل الأعمال الخيرية ودعم الفئات الاجتماعية الهشة السمة البارزة للأنشطة المكثفة التي يقوم بها شباب متطوعون من ذكور وإناث ينتمون إلى مؤسسة ""ناس الخير"" التضامنية بولاية قسنطينة, لا سيما خلال الشهر الفضيل."
